group,replicates,trial,polltype,visits,,
MIMA,Mprice,1,honbee,3,,
MIMA,Mprice,2,honbee,2,,
MIMA,Afisher,1,honbee,16,,
MIMA,Afisher,2,honbee,3,,
MIMA,Mwilson,1,honbee,12,,
MIMA,Mwilson,2,honbee,20,,
MIMA,Iemrich,1,honbee,6,,
MIMA,Iemrich,2,honbee,3,,
Mitzi,Mharding,1,honbee,5,,
Mitzi,Mharding,2,honbee,8,,
Mitzi,Jstamey,1,honbee,3,,
Mitzi,Jstamey,2,honbee,7,,
Mitzi,Nthompson,1,honbee,4,,
Mitzi,Nthompson,2,honbee,6,,
Mitzi,Mlloyd,1,honbee,15,,
Mitzi,Mlloyd,2,honbee,23,,
Zeb,Zhull,1,honbee,4,,
Zeb,Zhull,2,honbee,3,,
Zeb,wjanke,1,honbee,4,,
Zeb,wjanke,2,honbee,4,,
Zeb,Zpazol,1,honbee,4,,
Zeb,Zpazol,2,honbee,2,,
Zeb,Kevin,1,honbee,5,,
Zeb,Kevin,2,honbee,5,,
JB,Joe Barnes ,1,honbee,3,,
JB,Joe Barnes ,2,honbee,6,,
JB,Ylee,1,honbee,17,,
JB,Ylee,2,honbee,12,,
JB,Alec,1,honbee,1,,
JB,Alec,2,honbee,4,,
TBD,JHillert,1,honbee,25,,
TBD,JHillert,2,honbee,15,,
TBD,Victoria,1,honbee,5,,
TBD,Victoria,2,honbee,2,,
TBD,Lindsay,1,honbee,8,,
TBD,Lindsay,2,honbee,6,,
TBD,Alex,1,honbee,11,,
TBD,Alex,2,honbee,28,,
MIMA,Mprice,1,bucabee,3,,
MIMA,Mprice,2,bucabee,4,,
MIMA,Afisher,1,bucabee,4,,
MIMA,Afisher,2,bucabee,3,,
MIMA,Mwilson,1,bucabee,10,,
MIMA,Mwilson,2,bucabee,15,,
MIMA,Iemrich,1,bucabee,5,,
MIMA,Iemrich,2,bucabee,2,,
Mitzi,Mharding,1,bucabee,1,,
Mitzi,Mharding,2,bucabee,4,,
Mitzi,Jstamey,1,bucabee,4,,
Mitzi,Jstamey,2,bucabee,4,,
Mitzi,Nthompson,1,bucabee,1,,
Mitzi,Nthompson,2,bucabee,10,,
Mitzi,Mlloyd,1,bucabee,2,,
Mitzi,Mlloyd,2,bucabee,11,,
Zeb,Zhull,1,bucabee,4,,
Zeb,Zhull,2,bucabee,0,,
Zeb,wjanke,1,bucabee,4,,
Zeb,wjanke,2,bucabee,3,,
Zeb,Zpazol,1,bucabee,5,,
Zeb,Zpazol,2,bucabee,2,,
Zeb,Kevin,1,bucabee,10,,
Zeb,Kevin,2,bucabee,2,,
JB,Joe Barnes ,1,bucabee,3,,
JB,Joe Barnes ,2,bucabee,4,,
JB,Ylee,1,bucabee,10,,
JB,Ylee,2,bucabee,1,,
JB,Alec,1,bucabee,0,,
JB,Alec,2,bucabee,4,,
TBD,JHillert,1,bucabee,6,,
TBD,JHillert,2,bucabee,9,,
TBD,Victoria,1,bucabee,3,,
TBD,Victoria,2,bucabee,3,,
TBD,Lindsay,1,bucabee,1,,
TBD,Lindsay,2,bucabee,3,,
TBD,Alex,1,bucabee,5,,
TBD,Alex,2,bucabee,0,,
MIMA,Mprice,1,wasp,13,,
MIMA,Mprice,2,wasp,2,,
MIMA,Afisher,1,wasp,10,,
MIMA,Afisher,2,wasp,6,,
MIMA,Mwilson,1,wasp,21,,
MIMA,Mwilson,2,wasp,9,,
MIMA,Iemrich,1,wasp,6,,
MIMA,Iemrich,2,wasp,3,,
Mitzi,Mharding,1,wasp,5,,
Mitzi,Mharding,2,wasp,4,,
Mitzi,Jstamey,1,wasp,10,,
Mitzi,Jstamey,2,wasp,12,,
Mitzi,Nthompson,1,wasp,4,,
Mitzi,Nthompson,2,wasp,3,,
Mitzi,Mlloyd,1,wasp,7,,
Mitzi,Mlloyd,2,wasp,21,,
Zeb,Zhull,1,wasp,5,,
Zeb,Zhull,2,wasp,0,,
Zeb,wjanke,1,wasp,3,,
Zeb,wjanke,2,wasp,3,,
Zeb,Zpazol,1,wasp,4,,
Zeb,Zpazol,2,wasp,3,,
Zeb,Kevin,1,wasp,7,,
Zeb,Kevin,2,wasp,1,,
JB,Joe Barnes ,1,wasp,8,,
JB,Joe Barnes ,2,wasp,6,,
JB,Ylee,1,wasp,10,,
JB,Ylee,2,wasp,7,,
JB,Alec,1,wasp,2,,
JB,Alec,2,wasp,6,,
TBD,JHillert,1,wasp,3,,
TBD,JHillert,2,wasp,1,,
TBD,Victoria,1,wasp,3,,
TBD,Victoria,2,wasp,0,,
TBD,Lindsay,1,wasp,2,,
TBD,Lindsay,2,wasp,1,,
TBD,Alex,1,wasp,11,,
TBD,Alex,2,wasp,0,,
MIMA,Mprice,1,smbee,0,,
MIMA,Mprice,2,smbee,2,,
MIMA,Afisher,1,smbee,1,,
MIMA,Afisher,2,smbee,1,,
MIMA,Mwilson,1,smbee,1,,
MIMA,Mwilson,2,smbee,6,,
MIMA,Iemrich,1,smbee,2,,
MIMA,Iemrich,2,smbee,1,,
Mitzi,Mharding,1,smbee,0,,
Mitzi,Mharding,2,smbee,4,,
Mitzi,Jstamey,1,smbee,4,,
Mitzi,Jstamey,2,smbee,5,,
Mitzi,Nthompson,1,smbee,1,,
Mitzi,Nthompson,2,smbee,19,,
Mitzi,Mlloyd,1,smbee,1,,
Mitzi,Mlloyd,2,smbee,2,,
Zeb,Zhull,1,smbee,4,,
Zeb,Zhull,2,smbee,2,,
Zeb,wjanke,1,smbee,5,,
Zeb,wjanke,2,smbee,0,,
Zeb,Zpazol,1,smbee,0,,
Zeb,Zpazol,2,smbee,0,,
Zeb,Kevin,1,smbee,2,,
Zeb,Kevin,2,smbee,1,,
JB,Joe Barnes ,1,smbee,2,,
JB,Joe Barnes ,2,smbee,0,,
JB,Ylee,1,smbee,8,,
JB,Ylee,2,smbee,3,,
JB,Alec,1,smbee,0,,
JB,Alec,2,smbee,6,,
TBD,JHillert,1,smbee,0,,
TBD,JHillert,2,smbee,2,,
TBD,Victoria,1,smbee,1,,
TBD,Victoria,2,smbee,0,,
TBD,Lindsay,1,smbee,3,,
TBD,Lindsay,2,smbee,0,,
TBD,Alex,1,smbee,4,,
TBD,Alex,2,smbee,0,,
MIMA,Mprice,1,beetle,0,,
MIMA,Mprice,2,beetle,0,,
MIMA,Afisher,1,beetle,1,,
MIMA,Afisher,2,beetle,0,,
MIMA,Mwilson,1,beetle,0,,
MIMA,Mwilson,2,beetle,1,,
MIMA,Iemrich,1,beetle,0,,
MIMA,Iemrich,2,beetle,1,,
Mitzi,Mharding,1,beetle,0,,
Mitzi,Mharding,2,beetle,2,,
Mitzi,Jstamey,1,beetle,0,,
Mitzi,Jstamey,2,beetle,2,,
Mitzi,Nthompson,1,beetle,0,,
Mitzi,Nthompson,2,beetle,0,,
Mitzi,Mlloyd,1,beetle,0,,
Mitzi,Mlloyd,2,beetle,0,,
Zeb,Zhull,1,beetle,0,,
Zeb,Zhull,2,beetle,0,,
Zeb,wjanke,1,beetle,1,,
Zeb,wjanke,2,beetle,0,,
Zeb,Zpazol,1,beetle,1,,
Zeb,Zpazol,2,beetle,0,,
Zeb,Kevin,1,beetle,0,,
Zeb,Kevin,2,beetle,0,,
JB,Joe Barnes ,1,beetle,0,,
JB,Joe Barnes ,2,beetle,0,,
JB,Ylee,1,beetle,1,,
JB,Ylee,2,beetle,0,,
JB,Alec,1,beetle,0,,
JB,Alec,2,beetle,1,,
TBD,JHillert,1,beetle,0,,
TBD,JHillert,2,beetle,0,,
TBD,Victoria,1,beetle,0,,
TBD,Victoria,2,beetle,0,,
TBD,Lindsay,1,beetle,0,,
TBD,Lindsay,2,beetle,1,,
TBD,Alex,1,beetle,0,,
TBD,Alex,2,beetle,1,,
MIMA,Mprice,1,lbutterfly,1,,
MIMA,Mprice,2,lbutterfly,0,,
MIMA,Afisher,1,lbutterfly,1,,
MIMA,Afisher,2,lbutterfly,0,,
MIMA,Mwilson,1,lbutterfly,1,,
MIMA,Mwilson,2,lbutterfly,0,,
MIMA,Iemrich,1,lbutterfly,1,,
MIMA,Iemrich,2,lbutterfly,0,,
Mitzi,Mharding,1,lbutterfly,2,,
Mitzi,Mharding,2,lbutterfly,0,,
Mitzi,Jstamey,1,lbutterfly,0,,
Mitzi,Jstamey,2,lbutterfly,0,,
Mitzi,Nthompson,1,lbutterfly,0,,
Mitzi,Nthompson,2,lbutterfly,0,,
Mitzi,Mlloyd,1,lbutterfly,0,,
Mitzi,Mlloyd,2,lbutterfly,0,,
Zeb,Zhull,1,lbutterfly,0,,
Zeb,Zhull,2,lbutterfly,0,,
Zeb,wjanke,1,lbutterfly,0,,
Zeb,wjanke,2,lbutterfly,0,,
Zeb,Zpazol,1,lbutterfly,0,,
Zeb,Zpazol,2,lbutterfly,0,,
Zeb,Kevin,1,lbutterfly,0,,
Zeb,Kevin,2,lbutterfly,0,,
JB,Joe Barnes ,1,lbutterfly,0,,
JB,Joe Barnes ,2,lbutterfly,0,,
JB,Ylee,1,lbutterfly,0,,
JB,Ylee,2,lbutterfly,0,,
JB,Alec,1,lbutterfly,0,,
JB,Alec,2,lbutterfly,2,,
TBD,JHillert,1,lbutterfly,2,,
TBD,JHillert,2,lbutterfly,3,,
TBD,Victoria,1,lbutterfly,6,,
TBD,Victoria,2,lbutterfly,6,,
TBD,Lindsay,1,lbutterfly,4,,
TBD,Lindsay,2,lbutterfly,4,,
TBD,Alex,1,lbutterfly,5,,
TBD,Alex,2,lbutterfly,14,,
MIMA,Mprice,1,sbutterfly,3,,
MIMA,Mprice,2,sbutterfly,0,,
MIMA,Afisher,1,sbutterfly,3,,
MIMA,Afisher,2,sbutterfly,1,,
MIMA,Mwilson,1,sbutterfly,5,,
MIMA,Mwilson,2,sbutterfly,0,,
MIMA,Iemrich,1,sbutterfly,1,,
MIMA,Iemrich,2,sbutterfly,0,,
Mitzi,Mharding,1,sbutterfly,1,,
Mitzi,Mharding,2,sbutterfly,1,,
Mitzi,Jstamey,1,sbutterfly,0,,
Mitzi,Jstamey,2,sbutterfly,0,,
Mitzi,Nthompson,1,sbutterfly,0,,
Mitzi,Nthompson,2,sbutterfly,0,,
Mitzi,Mlloyd,1,sbutterfly,0,,
Mitzi,Mlloyd,2,sbutterfly,0,,
Zeb,Zhull,1,sbutterfly,1,,
Zeb,Zhull,2,sbutterfly,0,,
Zeb,wjanke,1,sbutterfly,1,,
Zeb,wjanke,2,sbutterfly,0,,
Zeb,Zpazol,1,sbutterfly,0,,
Zeb,Zpazol,2,sbutterfly,0,,
Zeb,Kevin,1,sbutterfly,0,,
Zeb,Kevin,2,sbutterfly,0,,
JB,Joe Barnes ,1,sbutterfly,0,,
JB,Joe Barnes ,2,sbutterfly,4,,
JB,Ylee,1,sbutterfly,0,,
JB,Ylee,2,sbutterfly,1,,
JB,Alec,1,sbutterfly,0,,
JB,Alec,2,sbutterfly,1,,
TBD,JHillert,1,sbutterfly,6,,
TBD,JHillert,2,sbutterfly,1,,
TBD,Victoria,1,sbutterfly,3,,
TBD,Victoria,2,sbutterfly,3,,
TBD,Lindsay,1,sbutterfly,3,,
TBD,Lindsay,2,sbutterfly,5,,
TBD,Alex,1,sbutterfly,10,,
TBD,Alex,2,sbutterfly,35,,
MIMA,Mprice,1,flies,2,,
MIMA,Mprice,2,flies,4,,
MIMA,Afisher,1,flies,1,,
MIMA,Afisher,2,flies,0,,
MIMA,Mwilson,1,flies,8,,
MIMA,Mwilson,2,flies,14,,
MIMA,Iemrich,1,flies,7,,
MIMA,Iemrich,2,flies,3,,
Mitzi,Mharding,1,flies,2,,
Mitzi,Mharding,2,flies,6,,
Mitzi,Jstamey,1,flies,3,,
Mitzi,Jstamey,2,flies,4,,
Mitzi,Nthompson,1,flies,1,,
Mitzi,Nthompson,2,flies,1,,
Mitzi,Mlloyd,1,flies,5,,
Mitzi,Mlloyd,2,flies,11,,
Zeb,Zhull,1,flies,1,,
Zeb,Zhull,2,flies,0,,
Zeb,wjanke,1,flies,2,,
Zeb,wjanke,2,flies,1,,
Zeb,Zpazol,1,flies,3,,
Zeb,Zpazol,2,flies,1,,
Zeb,Kevin,1,flies,2,,
Zeb,Kevin,2,flies,2,,
JB,Joe Barnes ,1,flies,2,,
JB,Joe Barnes ,2,flies,3,,
JB,Ylee,1,flies,11,,
JB,Ylee,2,flies,5,,
JB,Alec,1,flies,1,,
JB,Alec,2,flies,2,,
TBD,JHillert,1,flies,4,,
TBD,JHillert,2,flies,17,,
TBD,Victoria,1,flies,6,,
TBD,Victoria,2,flies,9,,
TBD,Lindsay,1,flies,13,,
TBD,Lindsay,2,flies,11,,
TBD,Alex,1,flies,14,,
TBD,Alex,2,flies,9,,
MIMA,Mprice,1,ant,0,,
MIMA,Mprice,2,ant,0,,
MIMA,Afisher,1,ant,0,,
MIMA,Afisher,2,ant,0,,
MIMA,Mwilson,1,ant,0,,
MIMA,Mwilson,2,ant,0,,
MIMA,Iemrich,1,ant,0,,
MIMA,Iemrich,2,ant,0,,
Mitzi,Mharding,1,ant,0,,
Mitzi,Mharding,2,ant,0,,
Mitzi,Jstamey,1,ant,0,,
Mitzi,Jstamey,2,ant,0,,
Mitzi,Nthompson,1,ant,0,,
Mitzi,Nthompson,2,ant,0,,
Mitzi,Mlloyd,1,ant,0,,
Mitzi,Mlloyd,2,ant,0,,
Zeb,Zhull,1,ant,0,,
Zeb,Zhull,2,ant,0,,
Zeb,wjanke,1,ant,1,,
Zeb,wjanke,2,ant,0,,
Zeb,Zpazol,1,ant,0,,
Zeb,Zpazol,2,ant,0,,
Zeb,Kevin,1,ant,0,,
Zeb,Kevin,2,ant,0,,
JB,Joe Barnes ,1,ant,0,,
JB,Joe Barnes ,2,ant,0,,
JB,Ylee,1,ant,0,,
JB,Ylee,2,ant,0,,
JB,Alec,1,ant,0,,
JB,Alec,2,ant,0,,
TBD,JHillert,1,ant,0,,
TBD,JHillert,2,ant,0,,
TBD,Victoria,1,ant,0,,
TBD,Victoria,2,ant,0,,
TBD,Lindsay,1,ant,0,,
TBD,Lindsay,2,ant,0,,
TBD,Alex,1,ant,0,,
TBD,Alex,2,ant,0,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
